identifier1	identifier2	annotator	judgment	comment	lemma
fic_1966_781991.txt-458-3	nf_1989_773911.txt-524-3	annotator1	4		bit_nn
nf_1837_757476.txt-2308-22	news_1981_671055.txt-80-3	annotator1	3		bit_nn
fic_1974_780098.txt-3615-15	fic_1996_41840.txt-483-12	annotator1	3		bit_nn
fic_1997_54798.txt-10-0	nf_1834_747621.txt-365-4	annotator1	3		bit_nn
fic_1844_7081.txt-853-11	fic_1855_2965.txt-860-18	annotator1	3		bit_nn
nf_1853_747976.txt-1572-51	mag_1996_384162.txt-189-6	annotator1	3		bit_nn
news_1997_621089.txt-175-10	fic_1977_10631.txt-2597-4	annotator1	2		bit_nn
fic_1996_41840.txt-483-12	fic_1846_8193.txt-1043-5	annotator1	3		bit_nn
fic_1974_780098.txt-3615-15	news_1996_658455.txt-44-19	annotator1	2		bit_nn
mag_1847_555508.txt-130-4	nf_1834_747621.txt-365-4	annotator1	3		bit_nn
fic_1827_7168.txt-798-14	fic_1853_3465.txt-485-10	annotator1	2		bit_nn
fic_1966_781991.txt-458-3	fic_1853_3465.txt-2331-14	annotator1	1		bit_nn
fic_2002_46652.txt-332-18	fic_1845_622.txt-629-25	annotator1	1		bit_nn
fic_1981_23957.txt-265-13	fic_2000_29915.txt-310-12	annotator1	3		bit_nn
nf_1989_773911.txt-524-3	mag_1847_555508.txt-130-4	annotator1	3		bit_nn
fic_1860_3347.txt-655-27	fic_1853_3465.txt-2331-14	annotator1	1		bit_nn
fic_1830_7238.txt-1257-19	nf_1989_773911.txt-524-3	annotator1	2		bit_nn
news_2004_661038.txt-7-8	fic_1853_3465.txt-485-10	annotator1	2		bit_nn
nf_1841_768644.txt-3254-1	fic_1835_7327.txt-2296-3	annotator1	3		bit_nn
fic_1981_10675.txt-1221-19	fic_1853_3465.txt-485-10	annotator1	3		bit_nn
fic_1846_7036.txt-1057-44	fic_2000_29915.txt-310-12	annotator1	4		bit_nn
news_1981_671055.txt-80-3	nf_1834_747621.txt-365-4	annotator1	3		bit_nn
fic_2007_34005.txt-150-3	nf_1963_774282.txt-1018-13	annotator1	2		bit_nn
fic_1846_8193.txt-1043-5	news_2004_661038.txt-7-8	annotator1	3		bit_nn
fic_1983_23971.txt-56-4	fic_2000_27974.txt-180-9	annotator1	4		bit_nn
nf_1841_768644.txt-3254-1	fic_1854_2820.txt-7-37	annotator1	3		bit_nn
nf_1837_757476.txt-2308-22	news_1997_621089.txt-175-10	annotator1	2		bit_nn
nf_1963_774282.txt-1018-13	news_1981_671055.txt-80-3	annotator1	3		bit_nn
fic_1846_8193.txt-1043-5	fic_1852_2751.txt-14771-5	annotator1	3		bit_nn
fic_1849_7347.txt-1126-6	nf_1837_757476.txt-3891-7	annotator1	3		bit_nn
fic_1827_7168.txt-798-14	fic_1852_2751.txt-14771-5	annotator1	2		bit_nn
fic_1999_44634.txt-204-9	fic_1845_7162.txt-116-52	annotator1	3		bit_nn
fic_1999_30899.txt-159-21	fic_1996_41840.txt-483-12	annotator1	3		bit_nn
fic_1846_7036.txt-1057-44	mag_1847_555508.txt-130-4	annotator1	3		bit_nn
fic_1860_3347.txt-655-27	fic_1845_7162.txt-3620-15	annotator1	3		bit_nn
news_2004_661038.txt-7-8	mag_1996_384162.txt-189-6	annotator1	2		bit_nn
fic_1855_2965.txt-860-18	fic_1974_780098.txt-3615-15	annotator1	2		bit_nn
fic_1999_44634.txt-204-9	fic_1852_2751.txt-14771-5	annotator1	3		bit_nn
news_1996_658455.txt-44-19	fic_1996_41840.txt-483-12	annotator1	2		bit_nn
nf_1837_757476.txt-2308-22	fic_1845_7162.txt-3620-15	annotator1	3		bit_nn
fic_1996_41840.txt-483-12	fic_1853_3465.txt-2331-14	annotator1	1		bit_nn
fic_1830_7238.txt-1257-19	fic_1849_7347.txt-1126-6	annotator1	2		bit_nn
fic_1852_2751.txt-14771-5	fic_1853_3465.txt-485-10	annotator1	0		bit_nn
fic_1966_781991.txt-458-3	fic_1985_10738.txt-1354-41	annotator1	1		bit_nn
fic_1860_3347.txt-655-27	fic_1854_2820.txt-7-37	annotator1	4		bit_nn
fic_1983_23971.txt-56-4	nf_1837_757476.txt-2308-22	annotator1	2		bit_nn
fic_2000_27974.txt-180-9	fic_1860_3347.txt-655-27	annotator1	2		bit_nn
