identifier1	identifier2	annotator	judgment	comment	lemma
mag_1964_488195.txt-110-6	nf_1852_771569.txt-1535-16	annotator1	3		record_nn
mag_1838_586203.txt-294-17	mag_1846_555387.txt-242-21	annotator1	4		record_nn
nf_1859_747415.txt-1647-8	mag_1843_565235.txt-474-3	annotator1	4		record_nn
mag_1855_556096.txt-140-19	nf_2005_776565.txt-799-9	annotator1	3		record_nn
mag_1999_397114.txt-33-22	mag_1853_566256.txt-485-78	annotator1	3		record_nn
fic_1975_10595.txt-6711-18	mag_1843_565235.txt-474-3	annotator1	4		record_nn
mag_1846_555387.txt-242-21	nf_1817_747573.txt-3290-22	annotator1	3		record_nn
nf_1817_747573.txt-3290-22	fic_1988_10771.txt-3982-8	annotator1	2		record_nn
fic_1851_746.txt-4790-31	mag_1855_556096.txt-140-19	annotator1	4		record_nn
news_1973_730777.txt-21-16	fic_1856_2880.txt-4213-40	annotator1	3		record_nn
fic_1975_10595.txt-6711-18	mag_1832_554153.txt-1-42	annotator1	3		record_nn
mag_1839_586449.txt-263-7	mag_1832_554153.txt-1-42	annotator1	4		record_nn
mag_1858_566996.txt-145-4	nf_1859_747415.txt-1647-8	annotator1	4		record_nn
mag_1986_332863.txt-26-14	nf_1817_747573.txt-3290-22	annotator1	3		record_nn
news_1973_730944.txt-1-24	mag_1855_556096.txt-140-19	annotator1	3		record_nn
mag_1986_332863.txt-26-14	fic_1851_746.txt-4790-31	annotator1	3		record_nn
mag_1846_555387.txt-242-21	nf_1859_747415.txt-2119-15	annotator1	3		record_nn
mag_1848_565749.txt-285-8	mag_2007_390968.txt-47-2	annotator1	1		record_nn
fic_1856_2880.txt-4213-40	fic_1996_54286.txt-140-17	annotator1	1		record_nn
mag_1858_566996.txt-145-4	nf_1859_747415.txt-2119-15	annotator1	4		record_nn
fic_1971_10544.txt-7281-1	nf_2005_776565.txt-799-9	annotator1	3		record_nn
mag_1832_554153.txt-1-42	nf_1824_747746.txt-65-7	annotator1	4		record_nn
mag_1855_556096.txt-140-19	nf_1999_775057.txt-49-3	annotator1	4		record_nn
fic_1850_7304.txt-20-13	nf_1985_773538.txt-788-26	annotator1	3		record_nn
mag_1858_566996.txt-145-4	mag_1986_332863.txt-26-14	annotator1	3		record_nn
fic_1997_54714.txt-100-14	nf_1824_747746.txt-65-7	annotator1	3		record_nn
fic_1971_10544.txt-7281-1	nf_1999_775057.txt-49-3	annotator1	3		record_nn
news_1998_626738.txt-90-33	nf_1984_774116.txt-1927-17	annotator1	1		record_nn
news_1998_626738.txt-90-33	mag_2007_390968.txt-47-2	annotator1	4		record_nn
nf_1817_747573.txt-3290-22	fic_1859_9216.txt-4756-10	annotator1	4		record_nn
news_1985_668655.txt-19-23	mag_1838_586203.txt-294-17	annotator1	1		record_nn
fic_1856_2880.txt-4213-40	fic_1859_9216.txt-4756-10	annotator1	4		record_nn
news_1985_668655.txt-19-23	fic_1837_7273.txt-3430-0	annotator1	1		record_nn
nf_1817_747573.txt-3290-22	news_1999_603006.txt-33-23	annotator1	1		record_nn
nf_1970_774162.txt-13616-21	news_1985_668655.txt-19-23	annotator1	1		record_nn
nf_1842_747950.txt-3-13	fic_1851_746.txt-4790-31	annotator1	4		record_nn
