identifier1	identifier2	annotator	judgment	comment	lemma
mag_1852_566234.txt-54-15	mag_1979_289255.txt-0-10	annotator1	4		multitude_nn
fic_1977_16253.txt-2505-23	fic_1983_10707.txt-2550-28	annotator1	4		multitude_nn
fic_1841_799.txt-131-20	nf_1822_747604.txt-897-51	annotator1	4		multitude_nn
fic_1841_799.txt-131-20	nf_1852_771217.txt-1871-21	annotator1	3		multitude_nn
fic_1977_16253.txt-2505-23	fic_2007_52030.txt-124-173	annotator1	4		multitude_nn
fic_1851_2538.txt-509-17	mag_1845_565440.txt-510-2	annotator1	4		multitude_nn
mag_1981_480306.txt-66-11	fic_1842_9749.txt-4262-9	annotator1	2		multitude_nn
mag_1974_479587.txt-193-6	fic_1844_3928.txt-822-4	annotator1	2		multitude_nn
nf_1852_771217.txt-1871-21	mag_1832_564297.txt-67-38	annotator1	4		multitude_nn
fic_1848_1279.txt-1956-22	nf_1835_748008.txt-2719-5	annotator1	4		multitude_nn
mag_1845_565440.txt-510-2	nf_1836_747959.txt-2285-4	annotator1	3		multitude_nn
nf_1972_774123.txt-818-0	news_1993_613422.txt-1-27	annotator1	2		multitude_nn
mag_1844_587118.txt-259-6	mag_1963_441289.txt-309-15	annotator1	3		multitude_nn
fic_1828_7245.txt-1587-26	mag_1981_480306.txt-66-11	annotator1	3		multitude_nn
fic_1851_2538.txt-509-17	fic_1977_16253.txt-2505-23	annotator1	3		multitude_nn
mag_1974_479587.txt-193-6	fic_1983_10707.txt-2550-28	annotator1	4		multitude_nn
nf_1850_747863.txt-97-7	fic_1964_10443.txt-3152-5	annotator1	3		multitude_nn
fic_1977_16253.txt-2505-23	mag_1850_525436.txt-319-21	annotator1	4		multitude_nn
mag_1981_480306.txt-66-11	mag_1850_525436.txt-319-21	annotator1	2		multitude_nn
fic_1976_782016.txt-2066-10	fic_2007_52030.txt-124-173	annotator1	4		multitude_nn
fic_1848_1279.txt-1956-22	mag_1979_289255.txt-0-10	annotator1	3		multitude_nn
mag_1973_491702.txt-207-2	nf_1822_747604.txt-897-51	annotator1	3		multitude_nn
fic_1983_10707.txt-2550-28	fic_1856_2880.txt-2356-20	annotator1	2		multitude_nn
nf_1960_774194.txt-1531-1	nf_1999_773781.txt-301-70	annotator1	2		multitude_nn
fic_1851_2538.txt-509-17	fic_2007_52030.txt-124-173	annotator1	4		multitude_nn
fic_1851_2538.txt-509-17	mag_1975_479699.txt-335-49	annotator1	2		multitude_nn
nf_1972_774123.txt-818-0	fic_1835_7063.txt-2869-57	annotator1	2		multitude_nn
nf_1960_774194.txt-1531-1	nf_1822_747604.txt-897-51	annotator1	4		multitude_nn
fic_1841_799.txt-131-20	news_1972_730290.txt-15-8	annotator1	4		multitude_nn
fic_1856_2655.txt-5527-10	fic_1995_53086.txt-1410-18	annotator1	2		multitude_nn
nf_1970_774162.txt-2420-18	fic_1995_53086.txt-1410-18	annotator1	3		multitude_nn
mag_1963_441289.txt-309-15	nf_1822_747604.txt-897-51	annotator0	4		multitude_nn
nf_1999_773781.txt-301-70	nf_1973_774239.txt-1623-8	annotator0	2		multitude_nn
fic_1856_2880.txt-2356-20	fic_1853_2486.txt-2440-28	annotator0	4		multitude_nn
