identifier1	identifier2	annotator	judgment	comment	lemma
fic_1976_10619.txt-2425-4	fic_1853_9040.txt-4160-35	annotator1	3		edge_nn
fic_1984_780063.txt-2168-8	mag_1827_553853.txt-237-20	annotator1	4		edge_nn
fic_1979_780091.txt-1631-2	fic_1839_7048.txt-2218-12	annotator1	2		edge_nn
fic_1999_45257.txt-114-4	fic_1993_25033.txt-3763-1	annotator1	3		edge_nn
fic_1845_7773.txt-1998-8	fic_1856_2470.txt-6171-4	annotator1	4		edge_nn
fic_1845_7773.txt-1998-8	fic_1975_10598.txt-4880-19	annotator1	3		edge_nn
fic_1988_10768.txt-7262-5	nf_1991_746793.txt-1-48	annotator1	3		edge_nn
nf_1859_747415.txt-336-28	fic_1993_25033.txt-3763-1	annotator1	4		edge_nn
fic_1854_8328.txt-2481-59	nf_1853_747555.txt-1393-27	annotator1	2		edge_nn
nf_1844_755204.txt-30-9	fic_1975_10598.txt-4880-19	annotator1	3		edge_nn
nf_1849_749269.txt-1179-45	fic_1843_7208.txt-10572-10	annotator1	4		edge_nn
fic_1843_7208.txt-10572-10	fic_1984_780063.txt-2168-8	annotator1	3		edge_nn
nf_1859_748098.txt-660-38	fic_1854_8328.txt-2481-59	annotator1	2		edge_nn
fic_1845_7773.txt-1998-8	fic_1838_7003.txt-589-2	annotator1	3		edge_nn
fic_1845_622.txt-12904-5	nf_1853_747555.txt-1393-27	annotator1	3		edge_nn
mag_1827_553853.txt-237-20	fic_1860_2807.txt-254-32	annotator1	1		edge_nn
mag_1822_553415.txt-147-14	fic_2009_36707.txt-28-26	annotator1	3		edge_nn
nf_1859_748098.txt-660-38	fic_1843_7208.txt-10572-10	annotator1	4		edge_nn
mag_1981_297437.txt-5-20	fic_1994_41235.txt-452-12	annotator1	1		edge_nn
fic_1982_780051.txt-4059-4	fic_1999_45257.txt-114-4	annotator1	4		edge_nn
nf_1844_755204.txt-30-9	fic_1844_7189.txt-2981-14	annotator1	3		edge_nn
fic_2003_47914.txt-263-26	mag_1984_494471.txt-56-40	annotator1	1		edge_nn
nf_1820_753470.txt-2075-10	fic_1994_41260.txt-77-18	annotator1	2		edge_nn
fic_1845_622.txt-12904-5	fic_1842_7158.txt-1104-5	annotator1	3		edge_nn
fic_2003_47914.txt-263-26	fic_1855_2965.txt-806-26	annotator1	2		edge_nn
fic_2006_31249.txt-9-5	fic_2001_30507.txt-465-14	annotator1	4		edge_nn
mag_1822_553415.txt-147-14	mag_1845_565442.txt-239-10	annotator1	1		edge_nn
fic_1856_2470.txt-6171-4	nf_1849_749269.txt-1179-45	annotator1	2		edge_nn
fic_1845_622.txt-12904-5	fic_1988_10768.txt-7262-5	annotator1	3		edge_nn
fic_1854_8328.txt-2481-59	mag_1984_494471.txt-56-40	annotator1	1		edge_nn
fic_1845_7773.txt-1998-8	nf_1991_746793.txt-1-48	annotator1	4		edge_nn
mag_1981_297437.txt-5-20	mag_1845_565442.txt-239-10	annotator1	1		edge_nn
fic_1845_622.txt-12904-5	fic_1853_9040.txt-4160-35	annotator1	3		edge_nn
