identifier1	identifier2	annotator	judgment	comment	lemma
fic_1960_23769.txt-82-21	fic_1987_10756.txt-8280-8	annotator1	2		circle_vb
fic_1832_8751.txt-60-12	mag_1847_555426.txt-683-22	annotator1	3		circle_vb
fic_1827_7169.txt-2470-7	fic_1987_10756.txt-8280-8	annotator1	2		circle_vb
fic_1988_10775.txt-3150-19	fic_1835_8114.txt-185-25	annotator1	3		circle_vb
fic_1986_10746.txt-2024-2	news_1998_653838.txt-0-29	annotator1	3		circle_vb
fic_1849_7216.txt-7367-8	fic_1835_7063.txt-49-25	annotator1	4		circle_vb
fic_1835_8114.txt-278-1	mag_2004_364661.txt-14-25	annotator1	2		circle_vb
fic_1981_16144.txt-2608-4	fic_1847_1094.txt-3790-6	annotator1	0		circle_vb
mag_1966_478596.txt-266-7	fic_1854_3384.txt-7277-11	annotator1	2		circle_vb
fic_1979_10657.txt-101-3	fic_1835_7063.txt-49-25	annotator1	1		circle_vb
fic_1986_782032.txt-2692-37	fic_2003_31434.txt-87-1	annotator1	2		circle_vb
mag_1965_492000.txt-179-10	fic_1987_10756.txt-8280-8	annotator1	2		circle_vb
mag_2007_389214.txt-68-21	fic_1853_4303.txt-3024-10	annotator1	2		circle_vb
fic_1974_780115.txt-552-5	fic_1839_7001.txt-661-7	annotator1	2		circle_vb
fic_2003_31434.txt-87-1	fic_1813_7433.txt-17-51	annotator1	1		circle_vb
fic_1860_8635.txt-659-6	mag_1966_478596.txt-266-7	annotator1	3		circle_vb
fic_1839_7001.txt-661-7	news_1998_653838.txt-0-29	annotator1	2		circle_vb
fic_1849_7216.txt-7367-8	fic_1851_1184.txt-663-6	annotator1	2		circle_vb
fic_1987_10756.txt-8280-8	fic_1981_16144.txt-2608-4	annotator1	0		circle_vb
mag_1966_478596.txt-266-7	fic_1848_7906.txt-183-19	annotator1	3		circle_vb
fic_1986_10746.txt-2024-2	mag_2007_389214.txt-68-21	annotator1	2		circle_vb
fic_1853_4303.txt-3024-10	fic_1960_23769.txt-82-21	annotator1	4		circle_vb
fic_2004_780504.txt-2130-4	fic_1854_3384.txt-7277-11	annotator1	0		circle_vb
fic_1849_7216.txt-7367-8	mag_1966_478596.txt-266-7	annotator1	2		circle_vb
fic_1965_10457.txt-722-1	mag_1965_492000.txt-179-10	annotator1	3		circle_vb
mag_1996_65462.txt-59-18	fic_1831_8376.txt-5127-24	annotator1	2		circle_vb
mag_2007_389214.txt-68-21	fic_2004_780504.txt-2130-4	annotator1	2		circle_vb
news_1998_653838.txt-0-29	fic_1835_8114.txt-434-8	annotator1	3		circle_vb
mag_1847_555426.txt-683-22	fic_1849_7230.txt-1251-25	annotator1	2		circle_vb
