identifier1	identifier2	annotator	judgment	comment	lemma
fic_1840_7681.txt-1992-35	news_2006_604835.txt-61-18	annotator1	4		twist_nn
fic_1840_7681.txt-1992-35	mag_2003_401573.txt-20-6	annotator1	1		twist_nn
fic_1837_7395.txt-1611-50	fic_1856_2470.txt-1991-21	annotator1	0		twist_nn
fic_1856_3677.txt-1488-21	mag_1965_97777.txt-64-28	annotator1	3		twist_nn
nf_1969_774314.txt-1197-15	fic_1856_3677.txt-1488-21	annotator1	4		twist_nn
fic_1839_7023.txt-2253-23	fic_1847_7094.txt-107-17	annotator1	4		twist_nn
fic_2004_28582.txt-69-8	fic_1854_3384.txt-1101-24	annotator1	2		twist_nn
fic_2003_28252.txt-145-4	fic_1843_7208.txt-9699-29	annotator1	3		twist_nn
fic_1854_3384.txt-1101-24	fic_1837_7395.txt-1611-50	annotator1	1		twist_nn
fic_1854_3384.txt-1101-24	news_2000_660028.txt-1120-22	annotator1	1		twist_nn
fic_1837_7395.txt-1611-50	fic_1847_7094.txt-107-17	annotator1	1		twist_nn
fic_2007_34245.txt-31-11	fic_1856_3677.txt-1488-21	annotator1	4		twist_nn
mag_1997_387756.txt-12-27	fic_1995_39263.txt-230-1	annotator1	0		twist_nn
fic_1848_7009.txt-4137-35	fic_2004_28582.txt-69-8	annotator1	1		twist_nn
mag_2003_401573.txt-20-6	mag_1824_553556.txt-303-26	annotator1	1		twist_nn
fic_1859_9220.txt-6324-24	fic_1847_7094.txt-107-17	annotator1	2		twist_nn
mag_2003_407658.txt-21-3	fic_2007_34245.txt-31-11	annotator1	1		twist_nn
fic_1854_3384.txt-1101-24	mag_1843_555146.txt-484-23	annotator1	2		twist_nn
fic_1852_2364.txt-5998-20	fic_1840_7681.txt-1992-35	annotator1	4		twist_nn
mag_1997_387756.txt-12-27	fic_1854_9826.txt-1072-5	annotator1	3		twist_nn
fic_1845_7170.txt-1583-10	fic_1837_7395.txt-1611-50	annotator1	1		twist_nn
fic_1854_3384.txt-1101-24	mag_1965_97777.txt-64-28	annotator1	2		twist_nn
fic_2009_36870.txt-57-23	fic_1856_2470.txt-2074-2	annotator1	4		twist_nn
fic_1836_9507.txt-439-2	fic_2009_36961.txt-181-21	annotator1	0		twist_nn
fic_1856_3677.txt-1488-21	fic_1852_2364.txt-5998-20	annotator1	4		twist_nn
news_1999_653851.txt-78-4	fic_1836_9507.txt-439-2	annotator1	0		twist_nn
fic_1856_2470.txt-2074-2	mag_1982_297734.txt-14-3	annotator1	1		twist_nn
fic_1854_9826.txt-1072-5	fic_2007_34245.txt-31-11	annotator1	4		twist_nn
