identifier1	identifier2	annotator	judgment	comment	lemma
mag_1965_97776.txt-201-3	news_1987_670609.txt-19-12	annotator1	4		player_nn
news_1983_668448.txt-37-7	mag_1981_432052.txt-7-13	annotator1	4		player_nn
nf_2007_775397.txt-236-21	fic_1844_7114.txt-1667-16	annotator1	2		player_nn
fic_1836_7053.txt-2351-0	fic_1833_7046.txt-1402-8	annotator1	0		player_nn
mag_2007_389746.txt-94-5	mag_1823_553496.txt-75-17	annotator1	0		player_nn
nf_1850_747423.txt-604-3	nf_2008_774823.txt-71-13	annotator1	1		player_nn
fic_1859_270.txt-245-19	mag_1981_432052.txt-7-13	annotator1	4		player_nn
fic_1855_604.txt-3720-11	mag_1987_88968.txt-71-7	annotator1	2		player_nn
nf_1833_747531.txt-1410-35	mag_1987_88968.txt-71-7	annotator1	2		player_nn
mag_1987_88968.txt-71-7	news_2006_607738.txt-55-9	annotator1	4		player_nn
fic_1833_7046.txt-1402-8	news_1981_671056.txt-143-10	annotator1	2		player_nn
fic_1859_270.txt-245-19	fic_1856_7968.txt-44-11	annotator1	2		player_nn
nf_1834_747621.txt-42-36	nf_2007_775397.txt-236-21	annotator1	4		player_nn
nf_1834_747621.txt-317-16	mag_1981_432052.txt-7-13	annotator1	4		player_nn
nf_1850_747423.txt-604-3	news_1981_735063.txt-26-13	annotator1	2		player_nn
news_1995_638673.txt-24-14	nf_1833_747531.txt-1410-35	annotator1	2		player_nn
fic_1844_3928.txt-1009-2	nf_1850_747423.txt-604-3	annotator1	2		player_nn
news_2003_628512.txt-48-10	fic_1976_780158.txt-3981-4	annotator1	2		player_nn
news_1995_638673.txt-24-14	fic_1850_7171.txt-1813-4	annotator1	4		player_nn
nf_1850_747423.txt-604-3	news_1981_671056.txt-143-10	annotator1	4		player_nn
fic_1850_7171.txt-1813-4	nf_2007_775397.txt-236-21	annotator1	3		player_nn
mag_1971_314073.txt-7-5	nf_1834_747621.txt-290-1	annotator1	4		player_nn
fic_1836_7053.txt-667-9	news_1987_670609.txt-19-12	annotator1	1		player_nn
fic_2001_13658.txt-319-3	news_2003_628512.txt-48-10	annotator1	4		player_nn
mag_2007_389746.txt-94-5	news_2003_628566.txt-8-16	annotator1	4		player_nn
fic_1833_7046.txt-1402-8	mag_1987_88968.txt-71-7	annotator1	2		player_nn
news_2003_628512.txt-48-10	fic_1844_3928.txt-1009-2	annotator1	4		player_nn
nf_1834_747621.txt-290-1	mag_2002_385031.txt-121-27	annotator1	3		player_nn
fic_1850_7171.txt-1813-4	news_2006_607738.txt-55-9	annotator1	4		player_nn
fic_1855_604.txt-3720-11	nf_2007_775397.txt-236-21	annotator1	2		player_nn
nf_1834_747621.txt-290-1	fic_1988_780054.txt-3484-4	annotator1	3		player_nn
fic_1844_3928.txt-1009-2	fic_1836_7052.txt-2764-40	annotator1	2		player_nn
fic_2001_13658.txt-319-3	news_1981_735063.txt-26-13	annotator1	4		player_nn
news_1995_641081.txt-27-14	nf_1834_747621.txt-203-9	annotator1	4		player_nn
nf_2007_775397.txt-236-21	fic_1842_7206.txt-1280-40	annotator1	4		player_nn
fic_1988_780054.txt-3484-4	news_1981_671056.txt-143-10	annotator1	4		player_nn
fic_1844_7114.txt-1667-16	mag_1964_208041.txt-8-19	annotator1	2		player_nn
nf_1833_747531.txt-1410-35	fic_1836_7052.txt-1521-3	annotator1	2		player_nn
mag_1987_88968.txt-71-7	mag_1964_208041.txt-8-19	annotator1	4		player_nn
fic_1844_7114.txt-1667-16	fic_1836_7053.txt-2351-0	annotator1	0		player_nn
fic_1854_7839.txt-1060-7	fic_1855_604.txt-3720-11	annotator1	4		player_nn
fic_1833_7201.txt-475-16	fic_1859_270.txt-245-19	annotator1	2		player_nn
fic_1844_7114.txt-1667-16	fic_1836_7052.txt-2764-40	annotator1	4		player_nn
mag_2007_389746.txt-94-5	news_1995_641081.txt-27-14	annotator1	4		player_nn
fic_1844_3928.txt-1009-2	news_1995_638673.txt-24-14	annotator1	4		player_nn
news_1983_668448.txt-37-7	mag_2000_410195.txt-45-21	annotator1	1		player_nn
fic_1989_10778.txt-2050-2	fic_1836_7052.txt-2764-40	annotator1	2		player_nn
nf_1834_747621.txt-317-16	fic_1989_10778.txt-2050-2	annotator1	2		player_nn
fic_1844_3928.txt-1009-2	news_1981_671056.txt-143-10	annotator1	4		player_nn
fic_1836_7053.txt-2351-0	fic_1988_780054.txt-3484-4	annotator1	0		player_nn
mag_1972_103837.txt-21-3	mag_1823_553496.txt-75-17	annotator1	2		player_nn
news_2003_628512.txt-48-10	fic_1836_7053.txt-2351-0	annotator1	0		player_nn
news_1995_641081.txt-27-14	fic_1989_10778.txt-2050-2	annotator1	2		player_nn
mag_1981_432052.txt-7-13	fic_1833_7201.txt-475-16	annotator1	2		player_nn
mag_1981_432052.txt-7-13	mag_1965_97776.txt-201-3	annotator1	4		player_nn
